Manufacturer,Price,MPG
Acura,15.9,25
Acura,33.9,18
Audi,29.1,20
Audi,37.7,19
BMW,30,22
Buick,15.7,22
Buick,20.8,19
Buick,23.7,16
Buick,26.3,19
Cadillac,34.7,16
Cadillac,40.1,16
Chevrolet,13.4,25
Chevrolet,11.4,25
Chevrolet,15.1,19
Chevrolet,15.9,21
Chevrolet,16.3,18
Chevrolet,16.6,15
Chevrolet,18.8,17
Chevrolet,38,17
Chrylser,18.4,20
Chrysler,15.8,23
Chrysler,29.5,20
Dodge,9.2,29
Dodge,11.3,23
Dodge,13.3,22
Dodge,19,17
Dodge,15.6,21
Dodge,25.8,18
Eagle,12.2,29
Eagle,19.3,20
Ford,7.4,31
Ford,10.1,23
Ford,11.3,22
Ford,15.9,22
Ford,14,24
Ford,19.9,15
Ford,20.2,21
Ford,20.9,18
Geo,8.4,46
Geo,12.5,30
Honda,19.8,24
Honda,12.1,42
Honda,17.5,24
Hyundai,8,29
Hyundai,10,22
Hyundai,10,26
Hyundai,13.9,20
Infiniti,47.9,17
Lexus,28,18
Lexus,35.2,18
Lincoln,34.3,17
Lincoln,36.1,18
Mazda,8.3,29
Mazda,11.6,28
Mazda,16.5,26
Mazda,19.1,18
Mazda,32.5,17
Mercedes-Benz,31.9,20
Mercedes-Benz,61.9,19
Mercury,14.1,23
Mercury,14.9,19
Mitsubishi,10.3,29
Mitsubishi,26.1,18
Nissan,11.8,29
Nissan,15.7,24
Nissan,19.1,17
Nissan,21.5,21
Oldsmobile,13.5,24
Oldsmobile,16.3,23
Oldsmobile,19.5,18
Oldsmobile,20.7,19
Plymouth,14.4,23
Pontiac,9,31
Pontiac,11.1,23
Pontiac,17.7,19
Pontiac,18.5,19
Pontiac,24.4,19
Saab,28.7,20
Saturn,11.1,28
Subaru,8.4,33
Subaru,10.9,25
Subaru,19.5,23
Suzuki,8.6,39
Toyota,9.8,32
Toyota,18.4,25
Toyota,18.2,22
Toyota,22.7,18
Volkswagen,9.1,25
Volkswagen,19.7,17
Volkswagen,20,21
Volkswagen,23.3,18
Volvo,22.7,21
Volvo,26.7,20
